prefix,ip_version,sbl_id,source,source_url,last_seen
2a05:f686::/32,6,SBL692423,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a06:e80:3000::/36,6,SBL594400,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a06:b440::/29,6,SBL654213,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a06:d240::/29,6,SBL303521,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:4180::/29,6,SBL463002,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:5780::/29,6,SBL303524,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:6800::/29,6,SBL300238,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:7700::/29,6,SBL342975,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:9b80::/29,6,SBL342980,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a07:b300::/29,6,SBL335961,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a09:ac80::/29,6,SBL494347,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0a:c00::/29,6,SBL311394,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0a:53c0:938::/48,6,SBL635702,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0a:6240::/29,6,SBL353065,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0b:3e80::/29,6,SBL340167,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0b:7ec0::/29,6,SBL689991,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0b:88c0:16::/48,6,SBL689998,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0b:88c0:32::/48,6,SBL689999,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0d:6c2::/32,6,SBL635654,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0d:c700::/29,6,SBL389715,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0d:e7c7:ffff::/48,6,SBL494346,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0e:b107:1a10::/44,6,SBL647147,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a0f:1580::/32,6,SBL692425,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a10:2f01:215::/48,6,SBL647148,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a10:9700::/29,6,SBL635189,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:2081::/32,6,SBL689992,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:6502::/32,6,SBL689993,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:9880::/32,6,SBL689994,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:c102::/32,6,SBL689995,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:f080::/32,6,SBL683237,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:f081::/32,6,SBL683238,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:f082::/32,6,SBL683239,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:f083::/32,6,SBL683240,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a11:f084::/32,6,SBL688278,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a12:2640::/29,6,SBL639454,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a12:6740::/30,6,SBL654214,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a12:a800:1::/48,6,SBL687517,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a12:a800:7::/48,6,SBL687518,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a12:a800:8::/48,6,SBL687519,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a12:dd47:8500::/40,6,SBL639453,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a12:dd47:db00::/40,6,SBL657028,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a13:df80:a800::/38,6,SBL641928,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a13:df84::/32,6,SBL641929,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a13:df87:b600::/39,6,SBL639437,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a13:ef45::/32,6,SBL639438,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a14:7c2::/32,6,SBL648565,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a14:7c3::/32,6,SBL641930,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a14:8000::/29,6,SBL690641,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a14:c380:11::/48,6,SBL688279,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
2a14:c380:12::/48,6,SBL688015,Spamhaus DROPv6,https://www.spamhaus.org/drop/drop_v6.json,2026-08-28T19:52:03.457409+00:00
