indicator,indicator_type,ip_version,prefix,asn,organization,country,malicious,confidence,category,source,first_seen,last_seen,malware
156.239.176.0/20,MaliciousASNIPv4Prefix,4,156.239.176.0/20,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.239.19.0/24,MaliciousASNIPv4Prefix,4,156.239.19.0/24,44559,IT HOSTLINE LTD,CY,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.239.20.0/24,MaliciousASNIPv4Prefix,4,156.239.20.0/24,44559,IT HOSTLINE LTD,CY,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.239.21.0/24,MaliciousASNIPv4Prefix,4,156.239.21.0/24,44559,IT HOSTLINE LTD,CY,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.239.22.0/24,MaliciousASNIPv4Prefix,4,156.239.22.0/24,44559,IT HOSTLINE LTD,CY,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.0.0/20,MaliciousASNIPv4Prefix,4,156.240.0.0/20,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.0.0/24,MaliciousASNIPv4Prefix,4,156.240.0.0/24,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.1.0/24,MaliciousASNIPv4Prefix,4,156.240.1.0/24,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.16.0/20,MaliciousASNIPv4Prefix,4,156.240.16.0/20,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.2.0/24,MaliciousASNIPv4Prefix,4,156.240.2.0/24,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.3.0/24,MaliciousASNIPv4Prefix,4,156.240.3.0/24,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.32.0/20,MaliciousASNIPv4Prefix,4,156.240.32.0/20,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.48.0/21,MaliciousASNIPv4Prefix,4,156.240.48.0/21,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.240.9.0/24,MaliciousASNIPv4Prefix,4,156.240.9.0/24,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.241.40.0/24,MaliciousASNIPv4Prefix,4,156.241.40.0/24,44559,IT HOSTLINE LTD,CY,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.241.42.0/24,MaliciousASNIPv4Prefix,4,156.241.42.0/24,44559,IT HOSTLINE LTD,CY,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.241.43.0/24,MaliciousASNIPv4Prefix,4,156.241.43.0/24,44559,IT HOSTLINE LTD,CY,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
156.242.10.0/23,MaliciousASNIPv4Prefix,4,156.242.10.0/23,54801,Zillion Network Inc.,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
