ip,source,source_url,last_seen,asn,organization,country
135.125.200.218,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,16276,OVH SAS,FR
135.222.208.157,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.222.208.253,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.222.41.206,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.112.56,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.115.202,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.115.236,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.115.244,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.116.128,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.116.98,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.96.226,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.96.79,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.97.196,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.233.99.7,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.237.121.105,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.237.123.168,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.237.83.133,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.237.83.134,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.237.83.142,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
135.237.97.153,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,8075,Microsoft Corporation,US
136.111.231.115,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,396982,Google Cloud Platform,US
