asn,organization,malicious,confidence,category,source,source_url,last_seen
33993,UFO Hosting LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
34450,Net Gate Telecom S.R.L.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
34985,Net Innovation LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
35478,Bunea TELECOM SRL,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
35624,Fast Servers (Pty) Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
35830,Fast Servers (Pty) Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
36680,Netiface LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
37707,SEYCHELLES INTERNET EXCHANGE POINT ASSOCIATION,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
38149,PT Bakrie Telecom Tbk,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
38337,NIU Telecommunications Inc,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
38871,InfoMove Solutions Limited,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
38946,DEMENIN B.V.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
39600,BUNNY TECHNOLOGY LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
39720,Manilich Alla Valerievna,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
40193,"Trit Networks, LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
40665,SPECTRE NETWORKS LTD,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
40963,DEMENIN B.V.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
41155,Orbit Telekom Sanayi ve Ticaret Limited Sirketi,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
42192,THUNDER NETWORK LIMITED,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
42397,Bunea TELECOM SRL,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
42419,Tavria-TRANSSERVIS Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
42505,"""R-TEL"" LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
42881,Contrust Solutions S.R.L.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
43444,Fast Servers (Pty) Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
43463,INFOCOM UK LTD,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
43481,Pitline Ltd,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
43613,LLC BIGNET UKRAINE,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
43668,"""AS43668"" LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
43743,Kruiz LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
44208,Farahoosh Dena PLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
44382,"Fiba Cloud Operation Company, LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
44386,LLC Internet Solutions,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
44559,IT HOSTLINE LTD,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
44801,"""R-TEL"" LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
46370,"Grand Web Solutions, Inc.",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
46664,VolumeDrive,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
47105,Vault Dweller OU,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
47890,UNMANAGED LTD,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
47893,"""R-TEL"" LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
47926,DEMENIN B.V.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
47945,"""R-TEL"" LLC",true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
48090,TECHOFF SRV LIMITED,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
48198,AVTOTRANS-EURO LLC,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
48214,Atis Omran Sevin PSJ,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
48589,Tiger Network Limited,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
48693,Rices Privately owned enterprise,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
49418,NETSHIELD LTD,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
49443,Contrust Solutions S.R.L.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
49581,Ferdinand Zink trading as Tube-Hosting,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
50236,VertexLink Inc.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
51045,DEMENIN B.V.,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
51124,FOP Dolgiy Andriy Fedorovuch,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
51381,1337TEAM LIMITED,true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
51396,Pfcloud UG (haftungsbeschrankt),true,high,Spamhaus ASN-DROP,Spamhaus,https://www.spamhaus.org/drop/asndrop.json,2026-08-28T20:11:22.383698+00:00
